,#_removed_edges,acc_top_1(%),acc_top_3(%),acc_top_5(%)
0,107,54.29906,59.065419999999996,63.831770000000006
1,533,52.55162,60.91932999999999,64.20260999999999
2,1065,46.84506,56.591550000000005,60.24414
3,1598,41.570730000000005,51.645810000000004,55.50688
